#DATA_BASE,DOCUMENTO,CNPJ,AGENCIA,NOME_INSTITUICAO,COD_CONGL,NOME_CONGL,TAXONOMIA,CONTA,NOME_CONTA,SALDO,URL,URL_Documentos
202310,4010,3750034,,COOP SICREDI AJURIS,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"257145270,62",https://www.sicredi.com.br/media/produtos/sicredi-ajuris-rs-122018.pdf,https://www.sicredi.com.br/media/produtos/sicredi-ajuris-rs-122018.pdfdocumentos-e-relatorios/
202310,4010,3793242,,COOP SICREDI SUL SC,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"2303756390,00",https://www.sicredi.com.br/coop/sulsc/,https://www.sicredi.com.br/coop/sulsc/documentos-e-relatorios/
202310,4010,4237413,,COOP SICREDI VALE SÃO FRANCISCO,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"313842812,84",https://www.sicredi.com.br/coop/valedosaofrancisco/,https://www.sicredi.com.br/coop/valedosaofrancisco/documentos-e-relatorios/
202310,4010,4463602,,COOP SICREDI CEN OEST PAULISTA,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"1295588877,16",https://www.sicredi.com.br/coop/centro-oeste-paulista/,https://www.sicredi.com.br/coop/centro-oeste-paulista/documentos-e-relatorios/
202310,4010,4484490,,COOP SICREDI ALTA NOROESTE SP,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"637828264,21",https://www.sicredi.com.br/coop/alta-noroeste-sp/,https://www.sicredi.com.br/coop/alta-noroeste-sp/documentos-e-relatorios/
202310,4010,4525997,,COOP SICREDI COOPERUCS,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"89907266,55",https://www.sicredi.com.br/coop/cooperucs/,https://www.sicredi.com.br/coop/cooperucs/documentos-e-relatorios/
202310,4010,4853988,,COOP SICREDI BANDEIRANTES,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"166729064,39",https://www.sicredi.com.br/coop/bandeirantes/,https://www.sicredi.com.br/coop/bandeirantes/documentos-e-relatorios/
202310,4010,4886317,,COOP SICREDI CREDJURIS,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"139035621,60",https://www.sicredi.com.br/coop/credjuris/,https://www.sicredi.com.br/coop/credjuris/documentos-e-relatorios/
202310,4010,5545390,,CC SICREDI COOMAMP,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"54836799,20",https://www.sicredi.com.br/coop/coomamp/,https://www.sicredi.com.br/coop/coomamp/documentos-e-relatorios/
202310,4010,6078926,,COOP SICREDI CREDENOREG,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"88856563,85",https://www.sicredi.com.br/coop/credjuris/,https://www.sicredi.com.br/coop/credjuris/documentos-e-relatorios/
202310,4010,6332931,,COOP SICREDI CERRADO GO,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"1621965695,67",https://www.sicredi.com.br/coop/cerrado-go/,https://www.sicredi.com.br/coop/cerrado-go/documentos-e-relatorios/
202310,4010,7070495,,COOP SICREDI EMPREENDEDORES,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"193042530,82",https://www.sicredi.com.br/media/produtos/sicredi-empreendedores-pr-062020.pdf,https://www.sicredi.com.br/media/produtos/sicredi-empreendedores-pr-062020.pdfdocumentos-e-relatorios/
